CNT,ISO,ICC_03G4,ICC_03G4_se,bf_03G4,bf_03G4_se,ICC_03G8,ICC_03G8_se,bf_03G8,bf_03G8_se,ICC_07G4,ICC_07G4_se,bf_07G4,bf_07G4_se,ICC_07G8,ICC_07G8_se,bf_07G8,bf_07G8_se,ICC_11G4,ICC_11G4_se,bf_11G4,bf_11G4_se,ICC_11G8,ICC_11G8_se,bf_11G8,bf_11G8_se,ICC_15G4,ICC_15G4_se,bf_15G4,bf_15G4_se,ICC_15G8,ICC_15G8_se,bf_15G8,bf_15G8_se
36,AUS,0.241,0.018,-0.182,0.025,0.341,0.016,-0.309,0.04,0.252,0.017,-0.169,0.024,0.358,0.015,-0.364,0.033,0.244,0.016,-0.21,0.023,0.349,0.014,-0.315,0.031,0.246,0.013,-0.2,0.025,0.268,0.02,-0.184,0.027
40,AUT,NA,NA,NA,NA,NA,NA,NA,NA,0.158,0.014,-0.16,0.021,NA,NA,NA,NA,0.177,0.014,-0.173,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,CAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234,0.014,-0.167,0.018,0.225,0.012,-0.275,0.024
152,CHL,NA,NA,NA,NA,0.383,0.01,-0.436,0.036,NA,NA,NA,NA,NA,NA,NA,NA,0.319,0.012,-0.285,0.024,0.357,0.01,-0.448,0.034,0.288,0.012,-0.16,0.03,0.326,0.012,-0.356,0.03
203,CZE,NA,NA,NA,NA,NA,NA,NA,NA,0.173,0.023,-0.158,0.031,0.244,0.022,-0.322,0.036,0.198,0.026,-0.17,0.038,NA,NA,NA,NA,0.161,0.014,-0.189,0.024,NA,NA,NA,NA
208,DNK,NA,NA,NA,NA,NA,NA,NA,NA,0.134,0.017,-0.074,0.027,NA,NA,NA,NA,0.207,0.023,-0.2,0.031,NA,NA,NA,NA,0.203,0.014,-0.144,0.025,NA,NA,NA,NA
233,EST,NA,NA,NA,NA,0.212,0.015,-0.278,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,FIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133,0.017,-0.17,0.023,0.145,0.013,-0.145,0.027,0.101,0.012,-0.046,0.024,NA,NA,NA,NA
250,FRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.213,0.013,-0.239,0.027,NA,NA,NA,NA
276,DEU,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.039,-0.201,0.036,NA,NA,NA,NA,0.247,0.027,-0.314,0.04,NA,NA,NA,NA,0.198,0.016,-0.17,0.032,NA,NA,NA,NA
348,HUN,0.224,0.017,-0.234,0.029,0.269,0.017,-0.383,0.033,0.247,0.019,-0.22,0.027,0.253,0.017,-0.279,0.037,0.292,0.033,-0.346,0.041,0.292,0.032,-0.401,0.051,0.263,0.021,-0.321,0.035,0.316,0.025,-0.384,0.05
372,IRL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174,0.017,-0.175,0.024,NA,NA,NA,NA,0.161,0.018,-0.159,0.031,0.249,0.037,-0.226,0.04
376,ISR,NA,NA,NA,NA,0.273,0.016,-0.162,0.031,NA,NA,NA,NA,0.281,0.018,-0.172,0.031,NA,NA,NA,NA,0.281,0.014,-0.238,0.029,NA,NA,NA,NA,0.36,0.01,-0.251,0.029
380,ITA,0.261,0.018,-0.251,0.03,0.238,0.019,-0.313,0.029,0.237,0.023,-0.245,0.026,0.224,0.023,-0.296,0.031,0.239,0.017,-0.168,0.024,0.224,0.016,-0.313,0.031,0.152,0.014,-0.145,0.026,0.2,0.018,-0.264,0.032
392,JPN,0.08,0.013,-0.077,0.023,0.135,0.027,-0.182,0.033,0.111,0.015,-0.067,0.023,0.181,0.024,-0.19,0.036,0.093,0.009,-0.102,0.021,0.145,0.02,-0.142,0.029,0.096,0.01,-0.076,0.022,0.16,0.021,-0.182,0.032
410,KOR,NA,NA,NA,NA,0.102,0.011,-0.072,0.02,NA,NA,NA,NA,0.116,0.014,-0.117,0.024,0.096,0.01,-0.055,0.017,0.105,0.012,-0.088,0.017,0.182,0.026,-0.081,0.024,0.114,0.012,-0.069,0.021
528,NLD,0.164,0.017,-0.153,0.033,0.439,0.013,-0.839,0.065,0.179,0.017,-0.147,0.033,NA,NA,NA,NA,0.178,0.019,-0.254,0.041,NA,NA,NA,NA,0.123,0.015,-0.19,0.026,NA,NA,NA,NA
554,NZL,0.279,0.014,-0.202,0.027,0.318,0.015,-0.378,0.033,0.217,0.013,-0.15,0.019,NA,NA,NA,NA,0.24,0.014,-0.214,0.022,0.306,0.018,-0.36,0.043,0.238,0.015,-0.205,0.023,0.253,0.023,-0.208,0.025
578,NOR,0.128,0.018,-0.047,0.021,0.124,0.012,-0.109,0.024,0.15,0.014,-0.034,0.022,0.102,0.01,-0.103,0.016,0.167,0.017,-0.129,0.027,0.14,0.013,-0.169,0.03,0.112,0.01,-0.112,0.02,0.109,0.011,-0.108,0.022
616,POL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152,0.02,-0.143,0.023,NA,NA,NA,NA,0.145,0.011,-0.159,0.025,NA,NA,NA,NA
620,PRT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296,0.034,-0.216,0.046,NA,NA,NA,NA,0.199,0.013,-0.156,0.027,NA,NA,NA,NA
926,ENG,0.215,0.018,-0.104,0.023,0.36,0.02,-0.233,0.049,0.165,0.015,-0.13,0.024,0.389,0.023,-0.161,0.032,0.217,0.018,-0.194,0.029,0.419,0.015,-0.207,0.043,0.227,0.021,-0.155,0.027,0.424,0.015,-0.232,0.043
927,SCT,0.233,0.027,-0.117,0.021,0.383,0.02,-0.178,0.041,0.151,0.018,-0.074,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,SVK,NA,NA,NA,NA,0.318,0.013,-0.459,0.037,0.259,0.039,-0.149,0.05,NA,NA,NA,NA,0.235,0.016,-0.242,0.029,NA,NA,NA,NA,0.259,0.016,-0.25,0.027,NA,NA,NA,NA
705,SVN,0.149,0.013,-0.107,0.021,0.137,0.012,-0.187,0.027,0.093,0.009,-0.065,0.021,NA,NA,NA,NA,0.128,0.014,-0.112,0.027,0.134,0.014,-0.128,0.025,0.091,0.011,-0.12,0.024,0.108,0.011,-0.175,0.027
724,ESP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212,0.015,-0.147,0.034,NA,NA,NA,NA,0.204,0.013,-0.153,0.023,NA,NA,NA,NA
752,SWE,NA,NA,NA,NA,0.228,0.017,-0.119,0.027,0.161,0.022,-0.1,0.025,NA,NA,NA,NA,0.164,0.011,-0.155,0.026,0.16,0.017,-0.207,0.028,0.213,0.022,-0.137,0.029,0.229,0.027,-0.24,0.044
840,USA,0.235,0.011,-0.157,0.017,0.292,0.012,-0.158,0.023,0.239,0.013,-0.143,0.02,NA,NA,NA,NA,0.215,0.01,-0.199,0.02,0.377,0.008,-0.337,0.026,0.224,0.011,-0.181,0.018,0.276,0.013,-0.147,0.02
